Id,Expected
1209db6dcdda5cc8a788edaeb6aa460a_0,517511 5 518791 5 520063 18 521343 18 522621 22 523901 22 525178 25 526458 25 527736 30 529016 30 530293 33 531573 33 532848 38 534128 38 535406 42 536686 42 537963 45 539243 45 540518 53 541798 53 543076 60 544356 60 545633 80 546913 80 548191 90 549468 100 550748 100 552028 105 553308 105 554586 110 555866 110 557143 113 558423 113 559703 113 560983 113 562261 115 563541 115 564821 115 566101 115 567378 115 568658 115 569936 117 571216 117 572496 117 573776 117 575053 118 576333 118 577613 118 578893 118 580171 120 581451 120 582731 117 584011 117 585291 117 586571 117 587851 117 589131 117 590408 120 591688 120 592968 120 594248 120 595528 120 596808 118 598088 118 599368 118 600648 118 601928 115 603208 115 604488 115 605768 115 607048 113 608328 113 609608 110 610888 110 612168 108 613448 108 614728 105 616008 105 617286 105 618566 105 619846 105 621126 105 622406 105 623686 105 624966 102 626246 102 627526 102 628806 102 630086 102 631366 102 632648 100 633928 100 635208 100 636488 100 637768 100 639048 100 640328 100 641608 100 642888 100 644168 100 645448 100 646728 100 648008 100 649291 97 650571 97 651851 97 653131 97 654411 97 655691 97 656971 100 658251 100 659531 100 660811 100 662093 98 663373 98 664653 98 665933 98 667213 100 668493 100 669776 97 671056 97 672336 97 673616 97 674896 100 676176 100 677458 98 678738 98 680018 100 681298 100 682578 100 683861 100 685141 100 686421 100 687701 100 688981 100 690261 100 691543 100 692823 100 694103 100 695383 100 696663 100 697943 100 699223 100 700503 100 701786 97 703066 97 704346 97 705626 97 706906 95 708186 95 709468 93 710748 93 712028 93 713308 93 714591 90 715871 90 717151 87 718431 87 719713 85 720993 85 722276 82 723556 82 724836 80 726121 75 727401 75 728683 73 729963 73 731246 67 732526 67 733811 60 735091 60 736373 58 737653 58 738938 50 740218 50 741503 43 742783 43 744071 30 745351 30 746633 25 747913 25 749198 13 750478 13
1209db6dcdda5cc8a788edaeb6aa460a_1,
677a6b1f2c6d40b3bbba8f6c704801b3_0,
677a6b1f2c6d40b3bbba8f6c704801b3_1,570369 22 571649 22 572919 37 574199 37 575466 53 576746 53 578021 63 579301 63 580578 66 581858 66 583136 70 584416 70 585696 70 586976 70 588253 76 589533 76 590813 76 592093 76 593373 76 594651 78 595931 78 597211 78 598491 78 599771 78 601051 78 602331 78 603611 78 604891 75 606171 75 607451 75 608731 75 610011 75 611291 75 612571 73 613851 73 615133 71 616413 71 617693 71 618973 71 620253 68 621533 68 622816 65 624096 65 625376 63 626656 63 627938 61 629218 61 630498 58 631778 58 633061 53 634341 53 635623 48 636906 43 638186 43 639468 38 640748 38 642031 33 643311 33 644596 23 645876 23 647164 7 648444 7
af35b65bd9ea42cfcfedb5eb2a0e4b50_0,567791 18 569071 18 570341 38 571621 38 572896 55 572964 22 574176 55 574244 22 575448 103 576728 103 577998 116 579278 116 580508 18 580543 133 581788 18 581823 133 583053 186 584333 186 585611 190 586891 190 588168 196 589448 196 590728 198 592008 198 593286 203 594566 205 595846 205 597126 208 598406 208 599686 210 600966 210 602246 213 603526 213 604808 213 606088 213 607368 216 608648 216 609928 221 611208 221 612491 220 613771 220 615051 223 616331 223 617611 225 618891 225 620171 228 621451 228 622733 226 624013 226 625293 228 626573 228 627856 225 629136 225 630416 228 631696 228 632978 228 634258 228 635541 225 636821 228 638101 228 639383 226 640663 226 641943 226 643223 226 644506 225 645786 225 647066 225 648346 225 649628 223 650908 223 652188 223 653468 223 654751 223 656031 223 657311 223 658591 223 659871 223 661151 223 662431 223 663711 223 664993 221 666273 221 667553 221 668833 221 670116 218 671396 218 672676 218 673956 218 675238 216 676518 216 677798 216 679078 216 680361 213 681641 215 682921 215 684203 213 685483 213 686766 210 688046 210 689326 210 690606 210 691888 208 693168 208 694451 205 695731 205 697013 203 698293 203 699576 203 700856 203 702138 201 703418 201 704698 201 705978 201 707261 198 708541 198 709823 196 711103 196 712386 193 713666 193 714948 191 716228 191 717511 185 718791 185 720073 183 721353 183 722636 180 723916 180 725198 176 726481 173 727761 173 729043 168 730323 168 731608 163 732888 163 734171 158 735451 158 736733 156 738013 156 739296 150 740576 150 741858 146 743138 146 744421 143 745701 143 746983 138 748263 138 749546 135 750826 135 752108 133 753388 133 754671 128 755951 128 757233 126 758513 126 759796 123 761076 123 762359 117 763639 117 764924 112 766204 112 767486 108 768771 103 770051 103 771334 97 772614 97 773899 90 775179 90 776466 80 777746 80 779034 70 780314 70 781604 57 782884 57 784174 40 785454 40
af35b65bd9ea42cfcfedb5eb2a0e4b50_1,
cdf3f33c3ca4d5060a633a8d5b2b2b55_0,401353 3 402633 3 403906 12 405186 12 406463 15 407738 20 409018 20 410293 25 411573 25 412851 27 414131 27 415406 32 416686 32 417963 35 419243 35 420518 38 421798 38 423076 40 424356 40 425633 43 426911 45 428191 45 429468 48 430748 48 432023 53 433303 53 434581 55 435861 55 437138 60 438418 60 439693 65 440973 65 442251 70 443531 70 444808 73 446083 80 447363 80 448641 85 449921 85 451198 93 452478 93 453753 103 455033 103 456311 115 457591 115 458868 120 460148 120 461426 125 462701 132 463981 132 465258 135 466538 135 467813 143 469093 143 470371 148 471651 148 472926 155 474206 155 475483 158 476763 158 478038 166 479318 166 480593 171 481871 175 483151 175 484426 180 485706 180 486983 186 488263 186 489541 188 490821 188 492098 193 493378 193 494656 198 495936 198 497213 201 498493 201 499771 205 501051 208 502331 208 503608 213 504888 213 506166 218 507446 218 508723 221 510003 221 511281 225 512561 225 513841 228 515121 228 516398 231 517678 231 518956 235 520233 241 521513 241 522791 245 524071 245 525351 248 526631 248 527908 253 529188 253 530468 253 531748 253 533026 258 534306 258 535583 263 536863 263 538143 263 539421 268 540701 268 541981 268 543261 268 544538 271 545818 271 547096 273 548376 273 549653 263 550933 263 552211 263 553491 263 554771 263 556051 263 557328 263 558606 265 559886 265 561166 265 562446 265 563723 268 565003 268 566281 268 567561 268 568838 271 570118 271 571396 273 572676 273 573956 273 575236 273 576513 278 577793 281 579073 281 580351 285 581631 285 582911 290 584191 290 585468 308 586748 308 588028 306 589308 306 590586 308 591866 308 593146 308 594426 308 595703 311 596983 308 598263 308 599541 310 600821 310 602101 310 603381 310 604658 311 605938 311 607218 311 608498 311 609778 311 611058 311 612336 310 613616 310 614896 310 616173 311 617453 311 618733 311 620013 311 621291 310 622571 310 623851 310 625131 310 626411 308 627691 308 628968 311 630248 311 631528 308 632806 310 634086 310 635366 308 636646 308 637926 308 639206 308 640483 308 641763 308 643043 306 644323 306 645603 306 646883 306 648161 305 649441 305 650721 303 652001 303 653281 303 654558 303 655838 303 657118 303 658398 303 659678 301 660958 301 662236 303 663516 303 664796 300 666076 300 667356 298 668636 298 669913 301 671193 298 672473 298 673753 298 675033 298 676313 296 677593 296 678871 295 680151 295 681431 293 682711 293 683991 290 685271 290 686551 288 687831 288 689111 288 690388 288 691668 288 692948 285 694228 285 695508 283 696788 283 698068 280 699348 280 700628 280 701908 280 703188 278 704468 278 705748 275 707028 275 708308 273 709586 272 710866 272 712146 270 713426 270 714706 270 715986 270 717266 267 718546 267 719826 267 721106 267 722386 265 723666 265 724946 265 726226 265 727506 265 728786 265 730066 265 731346 265 732626 265 733906 265 735186 265 736468 263 737748 263 739028 263 740308 263 741588 263 742868 263 744148 263 745428 263 746708 263 747988 263 749268 263 750548 260 751828 260 753108 260 754388 260 755668 260 756948 260 758228 258 759508 258 760788 258 762068 258 763348 255 764628 255 765908 253 767188 253 768468 253 769748 250 771028 250 772308 248 773588 248 774868 248 776148 248 777428 245 778708 245 779988 243 781268 243 782548 243 783828 240 785108 240 786388 238 787668 238 788946 237 790226 237 791506 237 792786 237 794066 235 795346 235 796626 232 797906 232 799183 233 800463 233 801743 230 803023 230 804303 230 805583 228 806863 228 808143 225 809423 225 810703 223 811983 223 813263 220 814543 220 815823 218 817103 218 818386 212 819666 212 820948 208 822233 203 823513 203 824803 190 826083 190 827371 180 828651 180 829936 172 831216 172 832498 170 833778 170 835063 163 836343 163 837628 155 838908 155 840193 148 841476 142 842756 142 844038 138 845318 138 846603 130 847883 130 849166 127 850446 127 851728 123 853008 123 854291 115 855571 115 856856 107 858136 107 859418 103 860701 95 861981 95 863263 88 864543 88 865828 80 867108 80 868391 70 869671 70 870956 60 872236 60 873526 32 874806 32
cdf3f33c3ca4d5060a633a8d5b2b2b55_1,547369 2 548649 2 549916 15 551196 15 552474 20 553754 20 555034 20 556314 20 557591 23 558871 23 560151 23 561431 25 562711 25 563991 25 565271 25 566549 27 567829 27 569109 27 570389 27 571669 27 572949 27 574229 27 575509 27 576791 25 578074 22 579354 22 580636 20 581916 20 583201 15 584481 15
afe1f119f21b248d152b672ab3492fc6_0,497401 40 498681 40 499956 53 501231 63 502511 63 503786 73 505066 73 506343 78 507623 78 508901 85 510181 85 511458 91 512738 91 514016 95 515296 95 516573 98 517853 98 519131 103 520408 108 521688 108 522966 113 524246 113 525523 116 526803 116 528083 118 529363 118 530641 123 531921 123 533198 128 534478 128 535756 133 537036 133 538316 135 539593 138 540873 138 542153 141 543433 141 544711 145 545991 145 547271 148 548551 148 549828 153 551108 153 552388 153 553668 153 554946 158 556226 158 557506 158 558783 163 560063 163 561343 163 562623 163 563901 168 565181 168 566461 168 567741 168 569021 168 570301 168 571578 173 572858 173 574138 173 575418 173 576696 175 577976 175 579256 175 580536 178 581816 178 583093 181 584373 181 585653 181 586933 181 588213 181 589493 181 590773 183 592053 183 593331 185 594611 185 595891 185 597171 188 598451 188 599728 191 601008 191 602288 191 603568 191 604846 195 606126 195 607406 195 608686 195 609963 201 611243 201 612523 201 613803 201 615081 205 616361 205 617641 205 618918 211 620198 211 621476 215 622756 215 624036 215 625316 215 626593 221 627873 221 629153 223 630433 223 631711 225 632991 228 634271 228 635551 228 636831 228 638111 230 639391 230 640671 230 641951 230 643228 233 644508 233 645788 236 647068 236 648348 236 649628 236 650908 236 652188 238 653468 238 654748 238 656028 238 657311 235 658591 235 659871 235 661151 235 662431 238 663711 238 664991 238 666271 238 667553 236 668833 236 670113 236 671396 233 672676 233 673956 235 675236 235 676518 233 677798 233 679081 230 680361 230 681641 230 682921 230 684203 228 685483 228 686766 225 688046 225 689328 226 690608 226 691888 226 693171 223 694451 223 695733 221 697013 221 698293 221 699573 221 700856 220 702136 220 703418 218 704698 218 705978 218 707258 218 708541 215 709821 218 711101 218 712383 216 713663 216 714943 216 716223 216 717503 216 718783 216 720063 216 721343 216 722623 216 723903 216 725183 218 726463 218 727743 218 729023 218 730303 218 731583 218 732863 218 734143 218 735423 218 736703 216 737983 216 739263 216 740543 216 741826 213 743106 213 744386 213 745666 213 746946 210 748226 210 749506 210 750786 208 752066 208 753346 208 754626 208 755908 203 757188 203 758468 203 759748 203 761028 201 762308 201 763591 198 764871 198 766151 195 767433 191 768713 191 769996 188 771276 188 772558 183 773838 183 775121 178 776401 178 777683 173 778963 173 780246 170 781526 170 782806 168 784088 163 785368 163 786651 160 787931 160 789213 156 790493 156 791776 150 793056 150 794338 146 795618 146 796903 141 798183 141 799468 133 800748 133 802033 126 803321 115 804601 115 805886 108 807166 108 808451 98 809731 98 811021 83 812301 83 813591 65 814871 65 816161 38 817441 38
afe1f119f21b248d152b672ab3492fc6_1,
